x,t,u
0.0,0.0,0.0
0.01,0.0,3.7375714e-11
0.02,0.0,9.8595056e-11
0.03,0.0,2.5493818e-10
0.04,0.0,6.461432e-10
0.05,0.0,1.6052281e-09
0.06,0.0,3.9089385e-09
0.07,0.0,9.330288e-09
0.08,0.0,2.1829578e-08
0.09,0.0,5.006218e-08
0.1,0.0,1.12535176e-07
0.11,0.0,2.479596e-07
0.12,0.0,5.3553475e-07
0.13,0.0,1.1337271e-06
0.14,0.0,2.3525752e-06
0.15,0.0,4.785117e-06
0.16,0.0,9.540163e-06
0.17,0.0,1.8643743e-05
0.18,0.0,3.571285e-05
0.19,0.0,6.7054825e-05
0.2,0.0,0.0001234098
0.21,0.0,0.00022262985
0.22,0.0,0.00039366903
0.23,0.0,0.0006823281
0.24,0.0,0.0011592292
0.25,0.0,0.0019304542
0.26,0.0,0.0031511115
0.27,0.0,0.0050417604
0.28,0.0,0.007907054
0.29,0.0,0.012155178
0.3,0.0,0.01831564
0.31,0.0,0.027051847
0.32,0.0,0.039163895
0.33,0.0,0.055576213
0.34,0.0,0.07730474
0.35000000000000003,0.0,0.10539922
0.36,0.0,0.14085843
0.37,0.0,0.18451953
0.38,0.0,0.23692776
0.39,0.0,0.29819727
0.4,0.0,0.36787945
0.41000000000000003,0.0,0.44485807
0.42,0.0,0.52729243
0.43,0.0,0.6126264
0.44,0.0,0.6976763
0.45,0.0,0.7788008
0.46,0.0,0.85214376
0.47000000000000003,0.0,0.9139312
0.48,0.0,0.96078944
0.49,0.0,0.99004984
0.5,0.0,1.0
0.51,0.0,0.99004984
0.52,0.0,0.96078944
0.53,0.0,0.9139312
0.54,0.0,0.85214376
0.55,0.0,0.7788008
0.56,0.0,0.6976763
0.5700000000000001,0.0,0.6126264
0.58,0.0,0.52729243
0.59,0.0,0.44485807
0.6,0.0,0.36787945
0.61,0.0,0.29819727
0.62,0.0,0.23692776
0.63,0.0,0.18451953
0.64,0.0,0.14085843
0.65,0.0,0.10539922
0.66,0.0,0.07730474
0.67,0.0,0.055576213
0.68,0.0,0.039163895
0.6900000000000001,0.0,0.027051847
0.7000000000000001,0.0,0.01831564
0.71,0.0,0.012155178
0.72,0.0,0.007907054
0.73,0.0,0.0050417604
0.74,0.0,0.0031511115
0.75,0.0,0.0019304542
0.76,0.0,0.0011592292
0.77,0.0,0.0006823281
0.78,0.0,0.00039366903
0.79,0.0,0.00022262985
0.8,0.0,0.0001234098
0.81,0.0,6.7054825e-05
0.8200000000000001,0.0,3.571285e-05
0.8300000000000001,0.0,1.8643743e-05
0.84,0.0,9.540163e-06
0.85,0.0,4.785117e-06
0.86,0.0,2.3525752e-06
0.87,0.0,1.1337271e-06
0.88,0.0,5.3553475e-07
0.89,0.0,2.479596e-07
0.9,0.0,1.12535176e-07
0.91,0.0,5.006218e-08
0.92,0.0,2.1829578e-08
0.93,0.0,9.330288e-09
0.9400000000000001,0.0,3.9089385e-09
0.9500000000000001,0.0,1.6052281e-09
0.96,0.0,6.461432e-10
0.97,0.0,2.5493818e-10
0.98,0.0,9.8595056e-11
0.99,0.0,3.7375714e-11
1.0,0.0,0.0

0.0,0.005,0.0
0.01,0.005,4.0356166e-11
0.02,0.005,1.1048553e-10
0.03,0.005,2.8429592e-10
0.04,0.005,7.171282e-10
0.05,0.005,1.7733063e-09
0.06,0.005,4.298643e-09
0.07,0.005,1.0215031e-08
0.08,0.005,2.3796243e-08
0.09,0.005,5.434223e-08
0.1,0.005,1.2165411e-07
0.11,0.005,2.6697845e-07
0.12,0.005,5.743619e-07
0.13,0.005,1.211309e-06
0.14,0.005,2.5042868e-06
0.15,0.005,5.07543e-06
0.16,0.005,1.008373e-05
0.17,0.005,1.9639434e-05
0.18,0.005,3.7496957e-05
0.19,0.005,7.018145e-05
0.2,0.005,0.00012876793
0.21,0.005,0.00023160725
0.22,0.005,0.00040837153
0.23,0.005,0.00070585834
0.24,0.005,0.0011960197
0.25,0.005,0.0019866333
0.26,0.005,0.0032348605
0.27,0.005,0.005163591
0.28,0.005,0.008079908
0.29,0.005,0.012394221
0.3,0.005,0.018637609
0.31,0.005,0.027473828
0.32,0.005,0.03970143
0.33,0.005,0.05624074
0.34,0.005,0.07810049
0.35000000000000003,0.005,0.106319815
0.36,0.005,0.14188367
0.37,0.005,0.18561292
0.38,0.005,0.23803543
0.39,0.005,0.29924884
0.4,0.005,0.36879152
0.41000000000000003,0.005,0.44554004
0.42,0.005,0.5276549
0.43,0.005,0.61259085
0.44,0.005,0.69718564
0.45,0.005,0.7778281
0.46,0.005,0.8506993
0.47000000000000003,0.005,0.912065
0.48,0.005,0.9585897
0.49,0.005,0.9876361
0.5,0.005,0.99751246
0.51,0.005,0.9876361
0.52,0.005,0.9585897
0.53,0.005,0.912065
0.54,0.005,0.8506993
0.55,0.005,0.7778281
0.56,0.005,0.69718564
0.5700000000000001,0.005,0.61259085
0.58,0.005,0.5276549
0.59,0.005,0.44554004
0.6,0.005,0.36879152
0.61,0.005,0.29924884
0.62,0.005,0.23803543
0.63,0.005,0.18561292
0.64,0.005,0.14188367
0.65,0.005,0.106319815
0.66,0.005,0.07810049
0.67,0.005,0.05624074
0.68,0.005,0.03970143
0.6900000000000001,0.005,0.027473828
0.7000000000000001,0.005,0.018637609
0.71,0.005,0.012394221
0.72,0.005,0.008079908
0.73,0.005,0.005163591
0.74,0.005,0.0032348605
0.75,0.005,0.0019866333
0.76,0.005,0.0011960197
0.77,0.005,0.00070585834
0.78,0.005,0.00040837153
0.79,0.005,0.00023160725
0.8,0.005,0.00012876793
0.81,0.005,7.018145e-05
0.8200000000000001,0.005,3.7496957e-05
0.8300000000000001,0.005,1.9639434e-05
0.84,0.005,1.008373e-05
0.85,0.005,5.07543e-06
0.86,0.005,2.5042868e-06
0.87,0.005,1.211309e-06
0.88,0.005,5.743619e-07
0.89,0.005,2.6697845e-07
0.9,0.005,1.2165411e-07
0.91,0.005,5.434223e-08
0.92,0.005,2.3796243e-08
0.93,0.005,1.0215031e-08
0.9400000000000001,0.005,4.298643e-09
0.9500000000000001,0.005,1.7733063e-09
0.96,0.005,7.171282e-10
0.97,0.005,2.8429592e-10
0.98,0.005,1.1048553e-10
0.99,0.005,4.0356166e-11
1.0,0.005,0.0

0.0,0.01,0.0
0.01,0.01,5.077992e-11
0.02,0.01,1.4829626e-10
0.03,0.01,3.784091e-10
0.04,0.01,9.439496e-10
0.05,0.01,2.3086741e-09
0.06,0.01,5.5361107e-09
0.07,0.01,1.3015979e-08
0.08,0.01,3.0004102e-08
0.09,0.01,6.781375e-08
0.1,0.01,1.5027615e-07
0.11,0.01,3.2651207e-07
0.12,0.01,6.9557996e-07
0.13,0.01,1.4528987e-06
0.14,0.01,2.97554e-06
0.15,0.01,5.9750323e-06
0.16,0.01,1.17641475e-05
0.17,0.01,2.271058e-05
0.18,0.01,4.298781e-05
0.19,0.01,7.9783575e-05
0.2,0.01,0.00014518927
0.21,0.01,0.00025906588
0.22,0.01,0.00045325464
0.23,0.01,0.00077755726
0.24,0.01,0.0013079232
0.25,0.01,0.0021572157
0.26,0.01,0.0034887353
0.27,0.01,0.0055323183
0.28,0.01,0.008602261
0.29,0.01,0.013115532
0.3,0.01,0.019607784
0.31,0.01,0.028743653
0.32,0.01,0.04131689
0.33,0.01,0.058235377
0.34,0.01,0.080486126
0.35000000000000003,0.01,0.10907654
0.36,0.01,0.14495026
0.37,0.01,0.18887962
0.38,0.01,0.24134082
0.39,0.01,0.30238274
0.4,0.01,0.37150505
0.41000000000000003,0.01,0.4475636
0.42,0.01,0.5287226
0.43,0.01,0.61247003
0.44,0.01,0.6957069
0.45,0.01,0.7749126
0.46,0.01,0.8463785
0.47000000000000003,0.01,0.9064886
0.48,0.01,0.9520204
0.49,0.01,0.9804298
0.5,0.01,0.99008673
0.51,0.01,0.9804298
0.52,0.01,0.9520204
0.53,0.01,0.9064886
0.54,0.01,0.8463785
0.55,0.01,0.7749126
0.56,0.01,0.6957069
0.5700000000000001,0.01,0.61247003
0.58,0.01,0.5287226
0.59,0.01,0.4475636
0.6,0.01,0.37150505
0.61,0.01,0.30238274
0.62,0.01,0.24134082
0.63,0.01,0.18887962
0.64,0.01,0.14495026
0.65,0.01,0.10907654
0.66,0.01,0.080486126
0.67,0.01,0.058235377
0.68,0.01,0.04131689
0.6900000000000001,0.01,0.028743653
0.7000000000000001,0.01,0.019607784
0.71,0.01,0.013115532
0.72,0.01,0.008602261
0.73,0.01,0.0055323183
0.74,0.01,0.0034887353
0.75,0.01,0.0021572157
0.76,0.01,0.0013079232
0.77,0.01,0.00077755726
0.78,0.01,0.00045325464
0.79,0.01,0.00025906588
0.8,0.01,0.00014518927
0.81,0.01,7.9783575e-05
0.8200000000000001,0.01,4.298781e-05
0.8300000000000001,0.01,2.271058e-05
0.84,0.01,1.17641475e-05
0.85,0.01,5.9750323e-06
0.86,0.01,2.97554e-06
0.87,0.01,1.4528987e-06
0.88,0.01,6.9557996e-07
0.89,0.01,3.2651207e-07
0.9,0.01,1.5027615e-07
0.91,0.01,6.781375e-08
0.92,0.01,3.0004102e-08
0.93,0.01,1.3015979e-08
0.9400000000000001,0.01,5.5361107e-09
0.9500000000000001,0.01,2.3086741e-09
0.96,0.01,9.439496e-10
0.97,0.01,3.784091e-10
0.98,0.01,1.4829626e-10
0.99,0.01,5.077992e-11
1.0,0.01,0.0

0.0,0.015,0.0
0.01,0.015,7.288778e-11
0.02,0.015,2.1925611e-10
0.03,0.015,5.563792e-10
0.04,0.015,1.370567e-09
0.05,0.015,3.30972e-09
0.06,0.015,7.836686e-09
0.07,0.015,1.8193992e-08
0.08,0.015,4.141734e-08
0.09,0.015,9.244846e-08
0.1,0.015,2.0234157e-07
0.11,0.015,4.3425368e-07
0.12,0.015,9.1386073e-07
0.13,0.015,1.885819e-06
0.14,0.015,3.816006e-06
0.15,0.015,7.57204e-06
0.16,0.015,1.4733894e-05
0.17,0.015,2.8114424e-05
0.18,0.015,5.2608295e-05
0.19,0.015,9.6538184e-05
0.2,0.015,0.00017372835
0.21,0.015,0.00030660257
0.22,0.015,0.0005306662
0.23,0.015,0.000900772
0.24,0.015,0.0014995584
0.25,0.015,0.002448355
0.26,0.015,0.003920626
0.27,0.015,0.0061576352
0.28,0.015,0.009485445
0.29,0.015,0.0143315885
0.3,0.015,0.021238863
0.31,0.015,0.03087282
0.32,0.015,0.044018663
0.33,0.015,0.06156308
0.34,0.015,0.084456675
0.35000000000000003,0.015,0.11365409
0.36,0.015,0.15003076
0.37,0.015,0.1942793
0.38,0.015,0.2467914
0.39,0.015,0.30753675
0.4,0.015,0.37595263
0.41000000000000003,0.015,0.45086226
0.42,0.015,0.5304374
0.43,0.015,0.6122216
0.44,0.015,0.6932204
0.45,0.015,0.77006215
0.46,0.015,0.83921874
0.47000000000000003,0.015,0.89726764
0.48,0.015,0.9411705
0.49,0.015,0.9685354
0.5,0.015,0.97783256
0.51,0.015,0.9685354
0.52,0.015,0.9411705
0.53,0.015,0.89726764
0.54,0.015,0.83921874
0.55,0.015,0.77006215
0.56,0.015,0.6932204
0.5700000000000001,0.015,0.6122216
0.58,0.015,0.5304374
0.59,0.015,0.45086226
0.6,0.015,0.37595263
0.61,0.015,0.30753675
0.62,0.015,0.2467914
0.63,0.015,0.1942793
0.64,0.015,0.15003076
0.65,0.015,0.11365409
0.66,0.015,0.084456675
0.67,0.015,0.06156308
0.68,0.015,0.044018663
0.6900000000000001,0.015,0.03087282
0.7000000000000001,0.015,0.021238863
0.71,0.015,0.0143315885
0.72,0.015,0.009485445
0.73,0.015,0.0061576352
0.74,0.015,0.003920626
0.75,0.015,0.002448355
0.76,0.015,0.0014995584
0.77,0.015,0.000900772
0.78,0.015,0.0005306662
0.79,0.015,0.00030660257
0.8,0.015,0.00017372835
0.81,0.015,9.6538184e-05
0.8200000000000001,0.015,5.2608295e-05
0.8300000000000001,0.015,2.8114424e-05
0.84,0.015,1.4733894e-05
0.85,0.015,7.57204e-06
0.86,0.015,3.816006e-06
0.87,0.015,1.885819e-06
0.88,0.015,9.1386073e-07
0.89,0.015,4.3425368e-07
0.9,0.015,2.0234157e-07
0.91,0.015,9.244846e-08
0.92,0.015,4.141734e-08
0.93,0.015,1.8193992e-08
0.9400000000000001,0.015,7.836686e-09
0.9500000000000001,0.015,3.30972e-09
0.96,0.015,1.370567e-09
0.97,0.015,5.563792e-10
0.98,0.015,2.1925611e-10
0.99,0.015,7.288778e-11
1.0,0.015,0.0

0.0,0.02,0.0
0.01,0.02,1.1336578e-10
0.02,0.02,3.3790465e-10
0.03,0.02,8.536155e-10
0.04,0.02,2.0784259e-09
0.05,0.02,4.957719e-09
0.06,0.02,1.1594847e-08
0.07,0.02,2.6588516e-08
0.08,0.02,5.978252e-08
0.09,0.02,1.3179867e-07
0.1,0.02,2.8491175e-07
0.11,0.02,6.0391903e-07
0.12,0.02,1.2552292e-06
0.13,0.02,2.5582965e-06
0.14,0.02,5.1129336e-06
0.15,0.02,1.00205025e-05
0.16,0.02,1.925831e-05
0.17,0.02,3.6296606e-05
0.18,0.02,6.7087785e-05
0.19,0.02,0.00012160786
0.2,0.02,0.00021618843
0.21,0.02,0.0003769366
0.22,0.02,0.0006445883
0.23,0.02,0.0010811569
0.24,0.02,0.0017786962
0.25,0.02,0.002870363
0.26,0.02,0.004543701
0.27,0.02,0.0070556523
0.28,0.02,0.010748213
0.29,0.02,0.016062928
0.3,0.02,0.023551613
0.31,0.02,0.033879958
0.32,0.02,0.04782008
0.33,0.02,0.06622808
0.34,0.02,0.09000318
0.35000000000000003,0.02,0.12002646
0.36,0.02,0.15707923
0.37,0.02,0.20174485
0.38,0.02,0.25430027
0.39,0.02,0.3146084
0.4,0.02,0.38202363
0.41000000000000003,0.02,0.45532733
0.42,0.02,0.5327045
0.43,0.02,0.6117768
0.44,0.02,0.6896946
0.45,0.02,0.7632904
0.46,0.02,0.82928205
0.47000000000000003,0.02,0.88451016
0.48,0.02,0.9261861
0.49,0.02,0.95212406
0.5,0.02,0.9609298
0.51,0.02,0.95212406
0.52,0.02,0.9261861
0.53,0.02,0.88451016
0.54,0.02,0.82928205
0.55,0.02,0.7632904
0.56,0.02,0.6896946
0.5700000000000001,0.02,0.6117768
0.58,0.02,0.5327045
0.59,0.02,0.45532733
0.6,0.02,0.38202363
0.61,0.02,0.3146084
0.62,0.02,0.25430027
0.63,0.02,0.20174485
0.64,0.02,0.15707923
0.65,0.02,0.12002646
0.66,0.02,0.09000318
0.67,0.02,0.06622808
0.68,0.02,0.04782008
0.6900000000000001,0.02,0.033879958
0.7000000000000001,0.02,0.023551613
0.71,0.02,0.016062928
0.72,0.02,0.010748213
0.73,0.02,0.0070556523
0.74,0.02,0.004543701
0.75,0.02,0.002870363
0.76,0.02,0.0017786962
0.77,0.02,0.0010811569
0.78,0.02,0.0006445883
0.79,0.02,0.0003769366
0.8,0.02,0.00021618843
0.81,0.02,0.00012160786
0.8200000000000001,0.02,6.7087785e-05
0.8300000000000001,0.02,3.6296606e-05
0.84,0.02,1.925831e-05
0.85,0.02,1.00205025e-05
0.86,0.02,5.1129336e-06
0.87,0.02,2.5582965e-06
0.88,0.02,1.2552292e-06
0.89,0.02,6.0391903e-07
0.9,0.02,2.8491175e-07
0.91,0.02,1.3179867e-07
0.92,0.02,5.978252e-08
0.93,0.02,2.6588516e-08
0.9400000000000001,0.02,1.1594847e-08
0.9500000000000001,0.02,4.957719e-09
0.96,0.02,2.0784259e-09
0.97,0.02,8.536155e-10
0.98,0.02,3.3790465e-10
0.99,0.02,1.1336578e-10
1.0,0.02,0.0

0.0,0.025,0.0
0.01,0.025,1.8163705e-10
0.02,0.025,5.293462e-10
0.03,0.025,1.3281267e-09
0.04,0.025,3.1999052e-09
0.05,0.025,7.545177e-09
0.06,0.025,1.7442144e-08
0.07,0.025,3.9533127e-08
0.08,0.025,8.7853245e-08
0.09,0.025,1.9142311e-07
0.1,0.025,4.089555e-07
0.11,0.025,8.566601e-07
0.12,0.025,1.759537e-06
0.13,0.025,3.5436665e-06
0.14,0.025,6.9980942e-06
